Probe;GeneSymbol
216557_x_at;IGHA1 /// IGHG1 ///
228071_at;GIMAP7
219361_s_at;ISG20L1
218270_at;MRPL24
218597_s_at;ZCD1
221712_s_at;WDR74
1564906_at;MATR3
218512_at;WDR12
218866_s_at;POLR3K
223413_s_at;LYAR
201802_at;SLC29A1
224714_at;MKI67IP
203219_s_at;APRT
219006_at;C6ORF66
208799_at;PSMB5
218105_s_at;MRPL4
220865_s_at;PDSS1
209760_at;KIAA0922
204514_at;DPH2
226410_at;LOC348180
211949_s_at;NOLC1
215792_s_at;DNAJC11
218238_at;GTPBP4
217838_s_at;EVL
200895_s_at;FKBP4
219083_at;SHQ1
202138_x_at;JTV1
201489_at;PPIF
225866_at;BXDC1
201574_at;ETF1
232154_at;LOC199800
216397_s_at;BOP1 /// LOC653119
224596_at;SLC44A1
214011_s_at;HSPC111
209971_x_at;JTV1
201478_s_at;DKC1
218758_s_at;D21S2056E
63009_at;SHQ1
209567_at;RRS1
225682_s_at;POLR3H
207515_s_at;POLR1C
219777_at;GIMAP6
214427_at;NOL1
202613_at;CTPS
203701_s_at;TRMT1
223018_at;NOB1
222288_at;PPP4R2
203023_at;HSPC111
201675_at;AKAP1
204133_at;RNU3IP2
222632_s_at;LZTFL1
218199_s_at;NOL6
212456_at;KIAA0664
222875_at;DHX33
227093_at;USP36
218016_s_at;POLR3E
218670_at;PUS1
203238_s_at;NOTCH3
203119_at;CCDC86
218594_at;HEATR1
210463_x_at;TRMT1
217884_at;NAT10
224632_at;GPATC4
221649_s_at;PPAN
217850_at;GNL3
220688_s_at;C1ORF33
203612_at;BYSL
209100_at;IFRD2
210448_s_at;P2RX5
211576_s_at;SLC19A1
224634_at;GPATC4
209336_at;PWP2H
202431_s_at;MYC
203737_s_at;PPRC1
218984_at;PUS7
225943_at;NLN
203394_s_at;HES1
202934_at;HK2
227336_at;DTX1
227347_x_at;HES4